Ticker,Sector,28-Dec-17,1-Jan-18,2-Jan-18,3-Jan-18,4-Jan-18,7-Jan-18,8-Jan-18,9-Jan-18,10-Jan-18,11-Jan-18,14-Jan-18,15-Jan-18,16-Jan-18,17-Jan-18,18-Jan-18,21-Jan-18,22-Jan-18,23-Jan-18,24-Jan-18,25-Jan-18,28-Jan-18,29-Jan-18,30-Jan-18,31-Jan-18,1-Feb-18,4-Feb-18,5-Feb-18,6-Feb-18,7-Feb-18,8-Feb-18,11-Feb-18,12-Feb-18,13-Feb-18,14-Feb-18,15-Feb-18,18-Feb-18,19-Feb-18,20-Feb-18,22-Feb-18,25-Feb-18,26-Feb-18,27-Feb-18,28-Feb-18,1-Mar-18,4-Mar-18,5-Mar-18,6-Mar-18,
1JANATAMF,Mutual Fund," 284,610,556 "," 284,610,556 "," 284,610,556 "," 284,610,556 "," 284,610,556 "," 284,610,556 "," 284,610,556 "," 284,610,556 "," 284,610,556 "," 284,610,556 "," 284,610,556 "," 284,610,556 "," 284,610,556 "," 284,610,556 "," 284,610,556 "," 284,610,556 "," 284,610,556 "," 284,610,556 "," 284,610,556 "," 284,610,556 "," 284,610,556 "," 284,610,556 "," 284,610,556 "," 284,610,556 "," 284,610,556 "," 284,610,556 "," 284,610,556 "," 284,610,556 "," 284,610,556 "," 284,610,556 "," 284,610,556 "," 284,610,556 "," 284,610,556 "," 284,610,556 "," 284,610,556 "," 284,610,556 "," 284,610,556 "," 284,610,556 "," 284,610,556 "," 284,610,556 "," 284,610,556 "," 284,610,556 "," 284,610,556 "," 284,610,556 "," 284,610,556 "," 284,610,556 "," 284,610,556 "," 284,610,556 "
1STBSRS,Mutual Fund," 5,000,000 "," 5,000,000 "," 5,000,000 "," 5,000,000 "," 5,000,000 "," 5,000,000 "," 5,000,000 "," 5,000,000 "," 5,000,000 "," 5,000,000 "," 5,000,000 "," 5,000,000 "," 5,000,000 "," 5,000,000 "," 5,000,000 "," 5,000,000 "," 5,000,000 "," 5,000,000 "," 5,000,000 "," 5,000,000 "," 5,000,000 "," 5,000,000 "," 5,000,000 "," 5,000,000 "," 5,000,000 "," 5,000,000 "," 5,000,000 "," 5,000,000 "," 5,000,000 "," 5,000,000 "," 5,000,000 "," 5,000,000 "," 5,000,000 "," 5,000,000 "," 5,000,000 "," 5,000,000 "," 5,000,000 "," 5,000,000 "," 5,000,000 "," 5,000,000 "," 5,000,000 "," 5,000,000 "," 5,000,000 "," 5,000,000 "," 5,000,000 "," 5,000,000 "," 5,000,000 "," 5,000,000 "
1STICB,Mutual Fund," 750,000 "," 750,000 "," 750,000 "," 750,000 "," 750,000 "," 750,000 "," 750,000 "," 750,000 "," 750,000 "," 750,000 "," 750,000 "," 750,000 "," 750,000 "," 750,000 "," 750,000 "," 750,000 "," 750,000 "," 750,000 "," 750,000 "," 750,000 "," 750,000 "," 750,000 "," 750,000 "," 750,000 "," 750,000 "," 750,000 "," 750,000 "," 750,000 "," 750,000 "," 750,000 "," 750,000 "," 750,000 "," 750,000 "," 750,000 "," 750,000 "," 750,000 "," 750,000 "," 750,000 "," 750,000 "," 750,000 "," 750,000 "," 750,000 "," 750,000 "," 750,000 "," 750,000 "," 750,000 "," 750,000 "," 750,000 "
1STPRIMFMF,Mutual Fund," 20,000,000 "," 20,000,000 "," 20,000,000 "," 20,000,000 "," 20,000,000 "," 20,000,000 "," 20,000,000 "," 20,000,000 "," 20,000,000 "," 20,000,000 "," 20,000,000 "," 20,000,000 "," 20,000,000 "," 20,000,000 "," 20,000,000 "," 20,000,000 "," 20,000,000 "," 20,000,000 "," 20,000,000 "," 20,000,000 "," 20,000,000 "," 20,000,000 "," 20,000,000 "," 20,000,000 "," 20,000,000 "," 20,000,000 "," 20,000,000 "," 20,000,000 "," 20,000,000 "," 20,000,000 "," 20,000,000 "," 20,000,000 "," 20,000,000 "," 20,000,000 "," 20,000,000 "," 20,000,000 "," 20,000,000 "," 20,000,000 "," 20,000,000 "," 20,000,000 "," 20,000,000 "," 20,000,000 "," 20,000,000 "," 20,000,000 "," 20,000,000 "," 20,000,000 "," 20,000,000 "," 20,000,000 "
2NDICB,Mutual Fund," 500,000 "," 500,000 "," 500,000 "," 500,000 "," 500,000 "," 500,000 "," 500,000 "," 500,000 "," 500,000 "," 500,000 "," 500,000 "," 500,000 "," 500,000 "," 500,000 "," 500,000 "," 500,000 "," 500,000 "," 500,000 "," 500,000 "," 500,000 "," 500,000 "," 500,000 "," 500,000 "," 500,000 "," 500,000 "," 500,000 "," 500,000 "," 500,000 "," 500,000 "," 500,000 "," 500,000 "," 500,000 "," 500,000 "," 500,000 "," 500,000 "," 500,000 "," 500,000 "," 500,000 "," 500,000 "," 500,000 "," 500,000 "," 500,000 "," 500,000 "," 500,000 "," 500,000 "," 500,000 "," 500,000 "," 500,000 "
3RDICB,Mutual Fund," 1,000,000 "," 1,000,000 "," 1,000,000 "," 1,000,000 "," 1,000,000 "," 1,000,000 "," 1,000,000 "," 1,000,000 "," 1,000,000 "," 1,000,000 "," 1,000,000 "," 1,000,000 "," 1,000,000 "," 1,000,000 "," 1,000,000 "," 1,000,000 "," 1,000,000 "," 1,000,000 "," 1,000,000 "," 1,000,000 "," 1,000,000 "," 1,000,000 "," 1,000,000 "," 1,000,000 "," 1,000,000 "," 1,000,000 "," 1,000,000 "," 1,000,000 "," 1,000,000 "," 1,000,000 "," 1,000,000 "," 1,000,000 "," 1,000,000 "," 1,000,000 "," 1,000,000 "," 1,000,000 "," 1,000,000 "," 1,000,000 "," 1,000,000 "," 1,000,000 "," 1,000,000 "," 1,000,000 "," 1,000,000 "," 1,000,000 "," 1,000,000 "," 1,000,000 "," 1,000,000 "," 1,000,000 "
4THICB,Mutual Fund," 1,000,000 "," 1,000,000 "," 1,000,000 "," 1,000,000 "," 1,000,000 "," 1,000,000 "," 1,000,000 "," 1,000,000 "," 1,000,000 "," 1,000,000 "," 1,000,000 "," 1,000,000 "," 1,000,000 "," 1,000,000 "," 1,000,000 "," 1,000,000 "," 1,000,000 "," 1,000,000 "," 1,000,000 "," 1,000,000 "," 1,000,000 "," 1,000,000 "," 1,000,000 "," 1,000,000 "," 1,000,000 "," 1,000,000 "," 1,000,000 "," 1,000,000 "," 1,000,000 "," 1,000,000 "," 1,000,000 "," 1,000,000 "," 1,000,000 "," 1,000,000 "," 1,000,000 "," 1,000,000 "," 1,000,000 "," 1,000,000 "," 1,000,000 "," 1,000,000 "," 1,000,000 "," 1,000,000 "," 1,000,000 "," 1,000,000 "," 1,000,000 "," 1,000,000 "," 1,000,000 "," 1,000,000 "
5THICB,Mutual Fund," 1,500,000 "," 1,500,000 "," 1,500,000 "," 1,500,000 "," 1,500,000 "," 1,500,000 "," 1,500,000 "," 1,500,000 "," 1,500,000 "," 1,500,000 "," 1,500,000 "," 1,500,000 "," 1,500,000 "," 1,500,000 "," 1,500,000 "," 1,500,000 "," 1,500,000 "," 1,500,000 "," 1,500,000 "," 1,500,000 "," 1,500,000 "," 1,500,000 "," 1,500,000 "," 1,500,000 "," 1,500,000 "," 1,500,000 "," 1,500,000 "," 1,500,000 "," 1,500,000 "," 1,500,000 "," 1,500,000 "," 1,500,000 "," 1,500,000 "," 1,500,000 "," 1,500,000 "," 1,500,000 "," 1,500,000 "," 1,500,000 "," 1,500,000 "," 1,500,000 "," 1,500,000 "," 1,500,000 "," 1,500,000 "," 1,500,000 "," 1,500,000 "," 1,500,000 "," 1,500,000 "," 1,500,000 "
6THICB,Mutual Fund," 5,000,000 "," 5,000,000 "," 5,000,000 "," 5,000,000 "," 5,000,000 "," 5,000,000 "," 5,000,000 "," 5,000,000 "," 5,000,000 "," 5,000,000 "," 5,000,000 "," 5,000,000 "," 5,000,000 "," 5,000,000 "," 5,000,000 "," 5,000,000 "," 5,000,000 "," 5,000,000 "," 5,000,000 "," 5,000,000 "," 5,000,000 "," 5,000,000 "," 5,000,000 "," 5,000,000 "," 5,000,000 "," 5,000,000 "," 5,000,000 "," 5,000,000 "," 5,000,000 "," 5,000,000 "," 5,000,000 "," 5,000,000 "," 5,000,000 "," 5,000,000 "," 5,000,000 "," 5,000,000 "," 5,000,000 "," 5,000,000 "," 5,000,000 "," 5,000,000 "," 5,000,000 "," 5,000,000 "," 5,000,000 "," 5,000,000 "," 5,000,000 "," 5,000,000 "," 5,000,000 "," 5,000,000 "
7THICB,Mutual Fund," 3,000,000 "," 3,000,000 "," 3,000,000 "," 3,000,000 "," 3,000,000 "," 3,000,000 "," 3,000,000 "," 3,000,000 "," 3,000,000 "," 3,000,000 "," 3,000,000 "," 3,000,000 "," 3,000,000 "," 3,000,000 "," 3,000,000 "," 3,000,000 "," 3,000,000 "," 3,000,000 "," 3,000,000 "," 3,000,000 "," 3,000,000 "," 3,000,000 "," 3,000,000 "," 3,000,000 "," 3,000,000 "," 3,000,000 "," 3,000,000 "," 3,000,000 "," 3,000,000 "," 3,000,000 "," 3,000,000 "," 3,000,000 "," 3,000,000 "," 3,000,000 "," 3,000,000 "," 3,000,000 "," 3,000,000 "," 3,000,000 "," 3,000,000 "," 3,000,000 "," 3,000,000 "," 3,000,000 "," 3,000,000 "," 3,000,000 "," 3,000,000 "," 3,000,000 "," 3,000,000 "," 3,000,000 "
8THICB,Mutual Fund," 5,000,000 "," 5,000,000 "," 5,000,000 "," 5,000,000 "," 5,000,000 "," 5,000,000 "," 5,000,000 "," 5,000,000 "," 5,000,000 "," 5,000,000 "," 5,000,000 "," 5,000,000 "," 5,000,000 "," 5,000,000 "," 5,000,000 "," 5,000,000 "," 5,000,000 "," 5,000,000 "," 5,000,000 "," 5,000,000 "," 5,000,000 "," 5,000,000 "," 5,000,000 "," 5,000,000 "," 5,000,000 "," 5,000,000 "," 5,000,000 "," 5,000,000 "," 5,000,000 "," 5,000,000 "," 5,000,000 "," 5,000,000 "," 5,000,000 "," 5,000,000 "," 5,000,000 "," 5,000,000 "," 5,000,000 "," 5,000,000 "," 5,000,000 "," 5,000,000 "," 5,000,000 "," 5,000,000 "," 5,000,000 "," 5,000,000 "," 5,000,000 "," 5,000,000 "," 5,000,000 "," 5,000,000 "
AAMRATECH,IT," 55,369,396 "," 55,369,396 "," 55,369,396 "," 55,369,396 "," 55,369,396 "," 55,369,396 "," 55,369,396 "," 55,369,396 "," 55,369,396 "," 55,369,396 "," 55,369,396 "," 55,369,396 "," 55,369,396 "," 55,369,396 "," 55,369,396 "," 55,369,396 "," 55,369,396 "," 55,369,396 "," 55,369,396 "," 55,369,396 "," 55,369,396 "," 55,369,396 "," 55,369,396 "," 55,369,396 "," 55,369,396 "," 55,369,396 "," 55,369,396 "," 55,369,396 "," 55,369,396 "," 55,369,396 "," 55,369,396 "," 55,369,396 "," 55,369,396 "," 55,369,396 "," 55,369,396 "," 55,369,396 "," 55,369,396 "," 55,369,396 "," 55,369,396 "," 55,369,396 "," 55,369,396 "," 55,369,396 "," 55,369,396 "," 55,369,396 "," 55,369,396 "," 55,369,396 "," 55,369,396 "," 55,369,396 "
ABBANK,Bank," 758,130,336 "," 758,130,336 "," 758,130,336 "," 758,130,336 "," 758,130,336 "," 758,130,336 "," 758,130,336 "," 758,130,336 "," 758,130,336 "," 758,130,336 "," 758,130,336 "," 758,130,336 "," 758,130,336 "," 758,130,336 "," 758,130,336 "," 758,130,336 "," 758,130,336 "," 758,130,336 "," 758,130,336 "," 758,130,336 "," 758,130,336 "," 758,130,336 "," 758,130,336 "," 758,130,336 "," 758,130,336 "," 758,130,336 "," 758,130,336 "," 758,130,336 "," 758,130,336 "," 758,130,336 "," 758,130,336 "," 758,130,336 "," 758,130,336 "," 758,130,336 "," 758,130,336 "," 758,130,336 "," 758,130,336 "," 758,130,336 "," 758,130,336 "," 758,130,336 "," 758,130,336 "," 758,130,336 "," 758,130,336 "," 758,130,336 "," 758,130,336 "," 758,130,336 "," 758,130,336 "," 758,130,336 "
ABB1STMF,Mutual Fund," 236,714,326 "," 236,714,326 "," 236,714,326 "," 236,714,326 "," 236,714,326 "," 236,714,326 "," 236,714,326 "," 236,714,326 "," 236,714,326 "," 236,714,326 "," 236,714,326 "," 236,714,326 "," 236,714,326 "," 236,714,326 "," 236,714,326 "," 236,714,326 "," 236,714,326 "," 236,714,326 "," 236,714,326 "," 236,714,326 "," 236,714,326 "," 236,714,326 "," 236,714,326 "," 236,714,326 "," 236,714,326 "," 236,714,326 "," 236,714,326 "," 236,714,326 "," 236,714,326 "," 236,714,326 "," 236,714,326 "," 236,714,326 "," 236,714,326 "," 236,714,326 "," 236,714,326 "," 236,714,326 "," 236,714,326 "," 236,714,326 "," 236,714,326 "," 236,714,326 "," 236,714,326 "," 236,714,326 "," 236,714,326 "," 236,714,326 "," 236,714,326 "," 236,714,326 "," 236,714,326 "," 236,714,326 "
ACI,Pharmaceuticals," 47,404,367 "," 47,404,367 "," 47,404,367 "," 47,404,367 "," 47,404,367 "," 47,404,367 "," 47,404,367 "," 47,404,367 "," 47,404,367 "," 47,404,367 "," 47,404,367 "," 47,404,367 "," 47,404,367 "," 47,404,367 "," 47,404,367 "," 47,404,367 "," 47,404,367 "," 47,404,367 "," 47,404,367 "," 47,404,367 "," 47,404,367 "," 47,404,367 "," 47,404,367 "," 47,404,367 "," 47,404,367 "," 47,404,367 "," 47,404,367 "," 47,404,367 "," 47,404,367 "," 47,404,367 "," 47,404,367 "," 47,404,367 "," 47,404,367 "," 47,404,367 "," 47,404,367 "," 47,404,367 "," 47,404,367 "," 47,404,367 "," 47,404,367 "," 47,404,367 "," 47,404,367 "," 47,404,367 "," 47,404,367 "," 47,404,367 "," 47,404,367 "," 47,404,367 "," 47,404,367 "," 47,404,367 "
ACIFORMULA,Pharmaceuticals," 45,000,000 "," 45,000,000 "," 45,000,000 "," 45,000,000 "," 45,000,000 "," 45,000,000 "," 45,000,000 "," 45,000,000 "," 45,000,000 "," 45,000,000 "," 45,000,000 "," 45,000,000 "," 45,000,000 "," 45,000,000 "," 45,000,000 "," 45,000,000 "," 45,000,000 "," 45,000,000 "," 45,000,000 "," 45,000,000 "," 45,000,000 "," 45,000,000 "," 45,000,000 "," 45,000,000 "," 45,000,000 "," 45,000,000 "," 45,000,000 "," 45,000,000 "," 45,000,000 "," 45,000,000 "," 45,000,000 "," 45,000,000 "," 45,000,000 "," 45,000,000 "," 45,000,000 "," 45,000,000 "," 45,000,000 "," 45,000,000 "," 45,000,000 "," 45,000,000 "," 45,000,000 "," 45,000,000 "," 45,000,000 "," 45,000,000 "," 45,000,000 "," 45,000,000 "," 45,000,000 "," 45,000,000 "
ACIZCBOND,Corp. Bond, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
ACTIVEFINE,Pharmaceuticals," 199,947,150 "," 199,947,150 "," 199,947,150 "," 199,947,150 "," 199,947,150 "," 199,947,150 "," 199,947,150 "," 199,947,150 "," 199,947,150 "," 199,947,150 "," 199,947,150 "," 199,947,150 "," 199,947,150 "," 199,947,150 "," 199,947,150 "," 199,947,150 "," 199,947,150 "," 199,947,150 "," 199,947,150 "," 199,947,150 "," 199,947,150 "," 199,947,150 "," 199,947,150 "," 199,947,150 "," 199,947,150 "," 199,947,150 "," 199,947,150 "," 199,947,150 "," 199,947,150 "," 199,947,150 "," 199,947,150 "," 199,947,150 "," 199,947,150 "," 199,947,150 "," 199,947,150 "," 199,947,150 "," 199,947,150 "," 199,947,150 "," 199,947,150 "," 199,947,150 "," 199,947,150 "," 199,947,150 "," 199,947,150 "," 199,947,150 "," 199,947,150 "," 199,947,150 "," 199,947,150 "," 199,947,150 "
AFCAGRO,Pharmaceuticals," 91,080,000 "," 91,080,000 "," 91,080,000 "," 91,080,000 "," 91,080,000 "," 91,080,000 "," 91,080,000 "," 91,080,000 "," 91,080,000 "," 91,080,000 "," 91,080,000 "," 91,080,000 "," 91,080,000 "," 91,080,000 "," 91,080,000 "," 91,080,000 "," 91,080,000 "," 91,080,000 "," 91,080,000 "," 91,080,000 "," 91,080,000 "," 91,080,000 "," 91,080,000 "," 91,080,000 "," 91,080,000 "," 91,080,000 "," 91,080,000 "," 91,080,000 "," 91,080,000 "," 91,080,000 "," 91,080,000 "," 91,080,000 "," 91,080,000 "," 91,080,000 "," 91,080,000 "," 91,080,000 "," 91,080,000 "," 91,080,000 "," 91,080,000 "," 91,080,000 "," 91,080,000 "," 91,080,000 "," 91,080,000 "," 91,080,000 "," 91,080,000 "," 91,080,000 "," 91,080,000 "," 91,080,000 "
AFTABAUTO,Industrial," 95,732,423 "," 95,732,423 "," 95,732,423 "," 95,732,423 "," 95,732,423 "," 95,732,423 "," 95,732,423 "," 95,732,423 "," 95,732,423 "," 95,732,423 "," 95,732,423 "," 95,732,423 "," 95,732,423 "," 95,732,423 "," 95,732,423 "," 95,732,423 "," 95,732,423 "," 95,732,423 "," 95,732,423 "," 95,732,423 "," 95,732,423 "," 95,732,423 "," 95,732,423 "," 95,732,423 "," 95,732,423 "," 95,732,423 "," 95,732,423 "," 95,732,423 "," 95,732,423 "," 95,732,423 "," 95,732,423 "," 95,732,423 "," 95,732,423 "," 95,732,423 "," 95,732,423 "," 95,732,423 "," 95,732,423 "," 95,732,423 "," 95,732,423 "," 95,732,423 "," 95,732,423 "," 95,732,423 "," 95,732,423 "," 95,732,423 "," 95,732,423 "," 95,732,423 "," 95,732,423 "," 95,732,423 "
AGNISYSL,IT," 76,011,253 "," 76,011,253 "," 76,011,253 "," 76,011,253 "," 76,011,253 "," 76,011,253 "," 76,011,253 "," 76,011,253 "," 76,011,253 "," 76,011,253 "," 76,011,253 "," 76,011,253 "," 76,011,253 "," 76,011,253 "," 76,011,253 "," 76,011,253 "," 76,011,253 "," 76,011,253 "," 76,011,253 "," 76,011,253 "," 76,011,253 "," 76,011,253 "," 76,011,253 "," 76,011,253 "," 76,011,253 "," 76,011,253 "," 76,011,253 "," 76,011,253 "," 76,011,253 "," 76,011,253 "," 76,011,253 "," 76,011,253 "," 76,011,253 "," 76,011,253 "," 76,011,253 "," 76,011,253 "," 76,011,253 "," 76,011,253 "," 76,011,253 "," 76,011,253 "," 76,011,253 "," 76,011,253 "," 76,011,253 "," 76,011,253 "," 76,011,253 "," 76,011,253 "," 76,011,253 "," 76,011,253 "
AGRANINS,General Insurance," 24,938,930 "," 24,938,930 "," 24,938,930 "," 24,938,930 "," 24,938,930 "," 24,938,930 "," 24,938,930 "," 24,938,930 "," 24,938,930 "," 24,938,930 "," 24,938,930 "," 24,938,930 "," 24,938,930 "," 24,938,930 "," 24,938,930 "," 24,938,930 "," 24,938,930 "," 24,938,930 "," 24,938,930 "," 24,938,930 "," 24,938,930 "," 24,938,930 "," 24,938,930 "," 24,938,930 "," 24,938,930 "," 24,938,930 "," 24,938,930 "," 24,938,930 "," 24,938,930 "," 24,938,930 "," 24,938,930 "," 24,938,930 "," 24,938,930 "," 24,938,930 "," 24,938,930 "," 24,938,930 "," 24,938,930 "," 24,938,930 "," 24,938,930 "," 24,938,930 "," 24,938,930 "," 24,938,930 "," 24,938,930 "," 24,938,930 "," 24,938,930 "," 24,938,930 "," 24,938,930 "," 24,938,930 "
AIBL1STIMF,Mutual Fund," 100,000,000 "," 100,000,000 "," 100,000,000 "," 100,000,000 "," 100,000,000 "," 100,000,000 "," 100,000,000 "," 100,000,000 "," 100,000,000 "," 100,000,000 "," 100,000,000 "," 100,000,000 "," 100,000,000 "," 100,000,000 "," 100,000,000 "," 100,000,000 "," 100,000,000 "," 100,000,000 "," 100,000,000 "," 100,000,000 "," 100,000,000 "," 100,000,000 "," 100,000,000 "," 100,000,000 "," 100,000,000 "," 100,000,000 "," 100,000,000 "," 100,000,000 "," 100,000,000 "," 100,000,000 "," 100,000,000 "," 100,000,000 "," 100,000,000 "," 100,000,000 "," 100,000,000 "," 100,000,000 "," 100,000,000 "," 100,000,000 "," 100,000,000 "," 100,000,000 "," 100,000,000 "," 100,000,000 "," 100,000,000 "," 100,000,000 "," 100,000,000 "," 100,000,000 "," 100,000,000 "," 100,000,000 "
AIMS1STMF,Mutual Fund," 89,995,570 "," 89,995,570 "," 89,995,570 "," 89,995,570 "," 89,995,570 "," 89,995,570 "," 89,995,570 "," 89,995,570 "," 89,995,570 "," 89,995,570 "," 89,995,570 "," 89,995,570 "," 89,995,570 "," 89,995,570 "," 89,995,570 "," 89,995,570 "," 89,995,570 "," 89,995,570 "," 89,995,570 "," 89,995,570 "," 89,995,570 "," 89,995,570 "," 89,995,570 "," 89,995,570 "," 89,995,570 "," 89,995,570 "," 89,995,570 "," 89,995,570 "," 89,995,570 "," 89,995,570 "," 89,995,570 "," 89,995,570 "," 89,995,570 "," 89,995,570 "," 89,995,570 "," 89,995,570 "," 89,995,570 "," 89,995,570 "," 89,995,570 "," 89,995,570 "," 89,995,570 "," 89,995,570 "," 89,995,570 "," 89,995,570 "," 89,995,570 "," 89,995,570 "," 89,995,570 "," 89,995,570 "
AL-HAJTEX,Textile," 20,271,417 "," 20,271,417 "," 20,271,417 "," 20,271,417 "," 20,271,417 "," 20,271,417 "," 20,271,417 "," 20,271,417 "," 20,271,417 "," 20,271,417 "," 20,271,417 "," 20,271,417 "," 20,271,417 "," 20,271,417 "," 20,271,417 "," 20,271,417 "," 20,271,417 "," 20,271,417 "," 20,271,417 "," 20,271,417 "," 20,271,417 "," 20,271,417 "," 20,271,417 "," 20,271,417 "," 20,271,417 "," 20,271,417 "," 20,271,417 "," 20,271,417 "," 20,271,417 "," 20,271,417 "," 20,271,417 "," 20,271,417 "," 20,271,417 "," 20,271,417 "," 20,271,417 "," 20,271,417 "," 20,271,417 "," 20,271,417 "," 20,271,417 "," 20,271,417 "," 20,271,417 "," 20,271,417 "," 20,271,417 "," 20,271,417 "," 20,271,417 "," 20,271,417 "," 20,271,417 "," 20,271,417 "
ALARABANK,Bank," 994,306,442 "," 994,306,442 "," 994,306,442 "," 994,306,442 "," 994,306,442 "," 994,306,442 "," 994,306,442 "," 994,306,442 "," 994,306,442 "," 994,306,442 "," 994,306,442 "," 994,306,442 "," 994,306,442 "," 994,306,442 "," 994,306,442 "," 994,306,442 "," 994,306,442 "," 994,306,442 "," 994,306,442 "," 994,306,442 "," 994,306,442 "," 994,306,442 "," 994,306,442 "," 994,306,442 "," 994,306,442 "," 994,306,442 "," 994,306,442 "," 994,306,442 "," 994,306,442 "," 994,306,442 "," 994,306,442 "," 994,306,442 "," 994,306,442 "," 994,306,442 "," 994,306,442 "," 994,306,442 "," 994,306,442 "," 994,306,442 "," 994,306,442 "," 994,306,442 "," 994,306,442 "," 994,306,442 "," 994,306,442 "," 994,306,442 "," 994,306,442 "," 994,306,442 "," 994,306,442 "," 994,306,442 "
ALLTEX,Textile," 55,968,000 "," 55,968,000 "," 55,968,000 "," 55,968,000 "," 55,968,000 "," 55,968,000 "," 55,968,000 "," 55,968,000 "," 55,968,000 "," 55,968,000 "," 55,968,000 "," 55,968,000 "," 55,968,000 "," 55,968,000 "," 55,968,000 "," 55,968,000 "," 55,968,000 "," 55,968,000 "," 55,968,000 "," 55,968,000 "," 55,968,000 "," 55,968,000 "," 55,968,000 "," 55,968,000 "," 55,968,000 "," 55,968,000 "," 55,968,000 "," 55,968,000 "," 55,968,000 "," 55,968,000 "," 55,968,000 "," 55,968,000 "," 55,968,000 "," 55,968,000 "," 55,968,000 "," 55,968,000 "," 55,968,000 "," 55,968,000 "," 55,968,000 "," 55,968,000 "," 55,968,000 "," 55,968,000 "," 55,968,000 "," 55,968,000 "," 55,968,000 "," 55,968,000 "," 55,968,000 "," 55,968,000 "
ALPHATOBA,Foods & Allied, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
AMBEEPHA,Pharmaceuticals," 2,400,000 "," 2,400,000 "," 2,400,000 "," 2,400,000 "," 2,400,000 "," 2,400,000 "," 2,400,000 "," 2,400,000 "," 2,400,000 "," 2,400,000 "," 2,400,000 "," 2,400,000 "," 2,400,000 "," 2,400,000 "," 2,400,000 "," 2,400,000 "," 2,400,000 "," 2,400,000 "," 2,400,000 "," 2,400,000 "," 2,400,000 "," 2,400,000 "," 2,400,000 "," 2,400,000 "," 2,400,000 "," 2,400,000 "," 2,400,000 "," 2,400,000 "," 2,400,000 "," 2,400,000 "," 2,400,000 "," 2,400,000 "," 2,400,000 "," 2,400,000 "," 2,400,000 "," 2,400,000 "," 2,400,000 "," 2,400,000 "," 2,400,000 "," 2,400,000 "," 2,400,000 "," 2,400,000 "," 2,400,000 "," 2,400,000 "," 2,400,000 "," 2,400,000 "," 2,400,000 "," 2,400,000 "
AMCL(PRAN),Foods & Allied," 8,000,000 "," 8,000,000 "," 8,000,000 "," 8,000,000 "," 8,000,000 "," 8,000,000 "," 8,000,000 "," 8,000,000 "," 8,000,000 "," 8,000,000 "," 8,000,000 "," 8,000,000 "," 8,000,000 "," 8,000,000 "," 8,000,000 "," 8,000,000 "," 8,000,000 "," 8,000,000 "," 8,000,000 "," 8,000,000 "," 8,000,000 "," 8,000,000 "," 8,000,000 "," 8,000,000 "," 8,000,000 "," 8,000,000 "," 8,000,000 "," 8,000,000 "," 8,000,000 "," 8,000,000 "," 8,000,000 "," 8,000,000 "," 8,000,000 "," 8,000,000 "," 8,000,000 "," 8,000,000 "," 8,000,000 "," 8,000,000 "," 8,000,000 "," 8,000,000 "," 8,000,000 "," 8,000,000 "," 8,000,000 "," 8,000,000 "," 8,000,000 "," 8,000,000 "," 8,000,000 "," 8,000,000 "
ANLIMAYARN,Textile," 17,867,800 "," 17,867,800 "," 17,867,800 "," 17,867,800 "," 17,867,800 "," 17,867,800 "," 17,867,800 "," 17,867,800 "," 17,867,800 "," 17,867,800 "," 17,867,800 "," 17,867,800 "," 17,867,800 "," 17,867,800 "," 17,867,800 "," 17,867,800 "," 17,867,800 "," 17,867,800 "," 17,867,800 "," 17,867,800 "," 17,867,800 "," 17,867,800 "," 17,867,800 "," 17,867,800 "," 17,867,800 "," 17,867,800 "," 17,867,800 "," 17,867,800 "," 17,867,800 "," 17,867,800 "," 17,867,800 "," 17,867,800 "," 17,867,800 "," 17,867,800 "," 17,867,800 "," 17,867,800 "," 17,867,800 "," 17,867,800 "," 17,867,800 "," 17,867,800 "," 17,867,800 "," 17,867,800 "," 17,867,800 "," 17,867,800 "," 17,867,800 "," 17,867,800 "," 17,867,800 "," 17,867,800 "
ANWARGALV,Industrial," 14,520,000 "," 14,520,000 "," 14,520,000 "," 14,520,000 "," 14,520,000 "," 14,520,000 "," 14,520,000 "," 14,520,000 "," 14,520,000 "," 14,520,000 "," 14,520,000 "," 14,520,000 "," 14,520,000 "," 14,520,000 "," 14,520,000 "," 14,520,000 "," 14,520,000 "," 14,520,000 "," 14,520,000 "," 14,520,000 "," 14,520,000 "," 14,520,000 "," 14,520,000 "," 14,520,000 "," 14,520,000 "," 14,520,000 "," 14,520,000 "," 14,520,000 "," 14,520,000 "," 14,520,000 "," 14,520,000 "," 14,520,000 "," 14,520,000 "," 14,520,000 "," 14,520,000 "," 14,520,000 "," 14,520,000 "," 14,520,000 "," 14,520,000 "," 14,520,000 "," 14,520,000 "," 14,520,000 "," 14,520,000 "," 14,520,000 "," 14,520,000 "," 14,520,000 "," 14,520,000 "," 14,520,000 "
