Ticker,Sector,28-Dec-17,1-Jan-18,2-Jan-18,3-Jan-18,4-Jan-18,7-Jan-18,8-Jan-18,9-Jan-18,10-Jan-18,11-Jan-18,14-Jan-18,15-Jan-18,16-Jan-18,17-Jan-18,18-Jan-18,21-Jan-18,22-Jan-18,23-Jan-18,24-Jan-18,25-Jan-18,28-Jan-18,29-Jan-18,30-Jan-18,31-Jan-18,1-Feb-18,4-Feb-18,5-Feb-18,6-Feb-18,7-Feb-18,8-Feb-18,11-Feb-18,12-Feb-18,13-Feb-18,14-Feb-18,15-Feb-18,18-Feb-18,19-Feb-18,20-Feb-18,22-Feb-18,25-Feb-18,26-Feb-18,27-Feb-18,28-Feb-18,1-Mar-18,4-Mar-18,5-Mar-18,6-Mar-18,
TRUSTBANK,Bank," 556,966,258 "," 556,966,258 "," 556,966,258 "," 556,966,258 "," 556,966,258 "," 556,966,258 "," 556,966,258 "," 556,966,258 "," 556,966,258 "," 556,966,258 "," 556,966,258 "," 556,966,258 "," 556,966,258 "," 556,966,258 "," 556,966,258 "," 556,966,258 "," 556,966,258 "," 556,966,258 "," 556,966,258 "," 556,966,258 "," 556,966,258 "," 556,966,258 "," 556,966,258 "," 556,966,258 "," 556,966,258 "," 556,966,258 "," 556,966,258 "," 556,966,258 "," 556,966,258 "," 556,966,258 "," 556,966,258 "," 556,966,258 "," 556,966,258 "," 556,966,258 "," 556,966,258 "," 556,966,258 "," 556,966,258 "," 556,966,258 "," 556,966,258 "," 556,966,258 "," 556,966,258 "," 556,966,258 "," 556,966,258 "," 556,966,258 "," 556,966,258 "," 556,966,258 "," 556,966,258 "," 556,966,258 "
TUNGHAI,Textile," 106,653,030 "," 106,653,030 "," 106,653,030 "," 106,653,030 "," 106,653,030 "," 106,653,030 "," 106,653,030 "," 106,653,030 "," 106,653,030 "," 106,653,030 "," 106,653,030 "," 106,653,030 "," 106,653,030 "," 106,653,030 "," 106,653,030 "," 106,653,030 "," 106,653,030 "," 106,653,030 "," 106,653,030 "," 106,653,030 "," 106,653,030 "," 106,653,030 "," 106,653,030 "," 106,653,030 "," 106,653,030 "," 106,653,030 "," 106,653,030 "," 106,653,030 "," 106,653,030 "," 106,653,030 "," 106,653,030 "," 106,653,030 "," 106,653,030 "," 106,653,030 "," 106,653,030 "," 106,653,030 "," 106,653,030 "," 106,653,030 "," 106,653,030 "," 106,653,030 "," 106,653,030 "," 106,653,030 "," 106,653,030 "," 106,653,030 "," 106,653,030 "," 106,653,030 "," 106,653,030 "," 106,653,030 "
UCB,Bank," 1,054,131,029 "," 1,054,131,029 "," 1,054,131,029 "," 1,054,131,029 "," 1,054,131,029 "," 1,054,131,029 "," 1,054,131,029 "," 1,054,131,029 "," 1,054,131,029 "," 1,054,131,029 "," 1,054,131,029 "," 1,054,131,029 "," 1,054,131,029 "," 1,054,131,029 "," 1,054,131,029 "," 1,054,131,029 "," 1,054,131,029 "," 1,054,131,029 "," 1,054,131,029 "," 1,054,131,029 "," 1,054,131,029 "," 1,054,131,029 "," 1,054,131,029 "," 1,054,131,029 "," 1,054,131,029 "," 1,054,131,029 "," 1,054,131,029 "," 1,054,131,029 "," 1,054,131,029 "," 1,054,131,029 "," 1,054,131,029 "," 1,054,131,029 "," 1,054,131,029 "," 1,054,131,029 "," 1,054,131,029 "," 1,054,131,029 "," 1,054,131,029 "," 1,054,131,029 "," 1,054,131,029 "," 1,054,131,029 "," 1,054,131,029 "," 1,054,131,029 "," 1,054,131,029 "," 1,054,131,029 "," 1,054,131,029 "," 1,054,131,029 "," 1,054,131,029 "," 1,054,131,029 "
UNITEDFIN,NBFI," 178,204,396 "," 178,204,396 "," 178,204,396 "," 178,204,396 "," 178,204,396 "," 178,204,396 "," 178,204,396 "," 178,204,396 "," 178,204,396 "," 178,204,396 "," 178,204,396 "," 178,204,396 "," 178,204,396 "," 178,204,396 "," 178,204,396 "," 178,204,396 "," 178,204,396 "," 178,204,396 "," 178,204,396 "," 178,204,396 "," 178,204,396 "," 178,204,396 "," 178,204,396 "," 178,204,396 "," 178,204,396 "," 178,204,396 "," 178,204,396 "," 178,204,396 "," 178,204,396 "," 178,204,396 "," 178,204,396 "," 178,204,396 "," 178,204,396 "," 178,204,396 "," 178,204,396 "," 178,204,396 "," 178,204,396 "," 178,204,396 "," 178,204,396 "," 178,204,396 "," 178,204,396 "," 178,204,396 "," 178,204,396 "," 178,204,396 "," 178,204,396 "," 178,204,396 "," 178,204,396 "," 178,204,396 "
UNIONCAP,NBFI," 156,529,564 "," 156,529,564 "," 156,529,564 "," 156,529,564 "," 156,529,564 "," 156,529,564 "," 156,529,564 "," 156,529,564 "," 156,529,564 "," 156,529,564 "," 156,529,564 "," 156,529,564 "," 156,529,564 "," 156,529,564 "," 156,529,564 "," 156,529,564 "," 156,529,564 "," 156,529,564 "," 156,529,564 "," 156,529,564 "," 156,529,564 "," 156,529,564 "," 156,529,564 "," 156,529,564 "," 156,529,564 "," 156,529,564 "," 156,529,564 "," 156,529,564 "," 156,529,564 "," 156,529,564 "," 156,529,564 "," 156,529,564 "," 156,529,564 "," 156,529,564 "," 156,529,564 "," 156,529,564 "," 156,529,564 "," 156,529,564 "," 156,529,564 "," 156,529,564 "," 156,529,564 "," 156,529,564 "," 156,529,564 "," 156,529,564 "," 156,529,564 "," 156,529,564 "," 156,529,564 "," 156,529,564 "
UNIQUEHRL,Tourism & Leisure," 294,400,000 "," 294,400,000 "," 294,400,000 "," 294,400,000 "," 294,400,000 "," 294,400,000 "," 294,400,000 "," 294,400,000 "," 294,400,000 "," 294,400,000 "," 294,400,000 "," 294,400,000 "," 294,400,000 "," 294,400,000 "," 294,400,000 "," 294,400,000 "," 294,400,000 "," 294,400,000 "," 294,400,000 "," 294,400,000 "," 294,400,000 "," 294,400,000 "," 294,400,000 "," 294,400,000 "," 294,400,000 "," 294,400,000 "," 294,400,000 "," 294,400,000 "," 294,400,000 "," 294,400,000 "," 294,400,000 "," 294,400,000 "," 294,400,000 "," 294,400,000 "," 294,400,000 "," 294,400,000 "," 294,400,000 "," 294,400,000 "," 294,400,000 "," 294,400,000 "," 294,400,000 "," 294,400,000 "," 294,400,000 "," 294,400,000 "," 294,400,000 "," 294,400,000 "," 294,400,000 "," 294,400,000 "
UNITEDAIR,Tourism & Leisure," 687,289,680 "," 687,289,680 "," 687,289,680 "," 687,289,680 "," 687,289,680 "," 687,289,680 "," 687,289,680 "," 687,289,680 "," 687,289,680 "," 687,289,680 "," 687,289,680 "," 687,289,680 "," 687,289,680 "," 687,289,680 "," 687,289,680 "," 687,289,680 "," 687,289,680 "," 687,289,680 "," 687,289,680 "," 687,289,680 "," 687,289,680 "," 687,289,680 "," 687,289,680 "," 687,289,680 "," 687,289,680 "," 687,289,680 "," 687,289,680 "," 687,289,680 "," 687,289,680 "," 687,289,680 "," 687,289,680 "," 687,289,680 "," 687,289,680 "," 687,289,680 "," 687,289,680 "," 687,289,680 "," 687,289,680 "," 687,289,680 "," 687,289,680 "," 687,289,680 "," 687,289,680 "," 687,289,680 "," 687,289,680 "," 687,289,680 "," 687,289,680 "," 687,289,680 "," 687,289,680 "," 687,289,680 "
UNITEDINS,General Insurance," 41,998,919 "," 41,998,919 "," 41,998,919 "," 41,998,919 "," 41,998,919 "," 41,998,919 "," 41,998,919 "," 41,998,919 "," 41,998,919 "," 41,998,919 "," 41,998,919 "," 41,998,919 "," 41,998,919 "," 41,998,919 "," 41,998,919 "," 41,998,919 "," 41,998,919 "," 41,998,919 "," 41,998,919 "," 41,998,919 "," 41,998,919 "," 41,998,919 "," 41,998,919 "," 41,998,919 "," 41,998,919 "," 41,998,919 "," 41,998,919 "," 41,998,919 "," 41,998,919 "," 41,998,919 "," 41,998,919 "," 41,998,919 "," 41,998,919 "," 41,998,919 "," 41,998,919 "," 41,998,919 "," 41,998,919 "," 41,998,919 "," 41,998,919 "," 41,998,919 "," 41,998,919 "," 41,998,919 "," 41,998,919 "," 41,998,919 "," 41,998,919 "," 41,998,919 "," 41,998,919 "," 41,998,919 "
UPGDCL,Fuel & Power," 362,944,699 "," 362,944,699 "," 362,944,699 "," 362,944,699 "," 362,944,699 "," 362,944,699 "," 362,944,699 "," 399,239,168 "," 399,239,168 "," 399,239,168 "," 399,239,168 "," 399,239,168 "," 399,239,168 "," 399,239,168 "," 399,239,168 "," 399,239,168 "," 399,239,168 "," 399,239,168 "," 399,239,168 "," 399,239,168 "," 399,239,168 "," 399,239,168 "," 399,239,168 "," 399,239,168 "," 399,239,168 "," 399,239,168 "," 399,239,168 "," 399,239,168 "," 399,239,168 "," 399,239,168 "," 399,239,168 "," 399,239,168 "," 399,239,168 "," 399,239,168 "," 399,239,168 "," 399,239,168 "," 399,239,168 "," 399,239,168 "," 399,239,168 "," 399,239,168 "," 399,239,168 "," 399,239,168 "," 399,239,168 "," 399,239,168 "," 399,239,168 "," 399,239,168 "," 399,239,168 "," 399,239,168 "
USMANIAGL,Industrial," 15,828,092 "," 15,828,092 "," 15,828,092 "," 15,828,092 "," 15,828,092 "," 15,828,092 "," 15,828,092 "," 15,828,092 "," 15,828,092 "," 15,828,092 "," 15,828,092 "," 15,828,092 "," 15,828,092 "," 15,828,092 "," 15,828,092 "," 15,828,092 "," 15,828,092 "," 15,828,092 "," 15,828,092 "," 15,828,092 "," 15,828,092 "," 15,828,092 "," 15,828,092 "," 15,828,092 "," 15,828,092 "," 15,828,092 "," 15,828,092 "," 15,828,092 "," 15,828,092 "," 15,828,092 "," 15,828,092 "," 15,828,092 "," 15,828,092 "," 15,828,092 "," 15,828,092 "," 15,828,092 "," 15,828,092 "," 15,828,092 "," 15,828,092 "," 15,828,092 "," 15,828,092 "," 15,828,092 "," 15,828,092 "," 15,828,092 "," 15,828,092 "," 15,828,092 "," 15,828,092 "," 15,828,092 "
